shoulder_angle,head_offset_x,head_offset_y,left_wrist_dist,right_wrist_dist,wrist_velocity_avg,zone_motion_score,label
90.0,0.287,1.4965,3.2058,1.0218,0.0,0.0,0
57.5669,0.0886,4.125,4.9611,5.1456,0.2739,0.0,0
90.0,0.1722,1.35,4.1783,2.7632,0.772,0.0,0
90.0,0.1166,0.9448,3.722,2.4012,0.2668,0.0,0
81.8829,0.4555,6.5954,13.6014,13.9862,1.4696,0.0,0
90.0,0.7633,1.3678,3.9302,1.1731,1.5287,0.0,0
90.0,0.2103,1.4731,2.4429,1.1039,1.0152,0.0,0
90.0,0.219,1.166,2.5874,1.7451,0.3204,0.0,0
59.8368,0.2188,1.7216,3.7821,5.6258,1.132,0.0,0
90.0,0.2281,0.8755,2.1024,2.1961,1.1288,0.0,0
90.0,0.0448,0.6517,2.0606,0.6035,1.0393,0.0,0
90.0,0.1605,3.0251,7.423,6.2671,0.782,0.0,0
90.0,0.0681,0.9226,4.0354,2.6542,1.2944,0.0,0
90.0,0.2524,2.8003,5.6095,4.8937,1.1403,0.0,0
90.0,0.4808,1.2196,3.1384,3.1891,0.616,0.0,0
90.0,0.124,0.9929,2.8723,0.827,1.3405,0.0,0
90.0,0.4455,2.2473,4.18,3.9254,0.9341,0.0,0
90.0,0.1229,0.0552,3.6045,2.1087,0.6628,0.0,0
90.0,0.162,0.8575,1.9845,1.1543,0.5977,0.0,0
90.0,0.0224,1.4028,2.9749,2.0507,0.6156,0.0,0
90.0,0.5281,0.9083,2.99,1.7773,0.4803,0.0,0
90.0,0.1963,2.1841,4.5649,3.3589,0.5468,0.0,0
90.0,0.3128,2.8118,8.2646,7.5677,0.556,0.0,0
90.0,0.5718,1.7621,4.5709,3.7286,0.4573,0.0,0
90.0,0.4367,2.6916,5.1328,3.6431,0.8674,0.0,0
90.0,0.058,0.9773,3.2295,2.6952,0.5163,0.0,0
90.0,0.2376,0.1129,5.2137,5.8642,0.5625,0.0,0
90.0,0.6613,1.3605,3.45,3.4311,0.5581,0.0,0
90.0,0.504,1.4457,3.0046,2.1387,0.8228,0.0,0
90.0,0.1242,2.0723,7.5584,7.7131,0.8556,0.0,0
