shoulder_angle,head_offset_x,head_offset_y,left_wrist_dist,right_wrist_dist,wrist_velocity_avg,zone_motion_score,label
27.0753,0.1957,0.0964,0.36,0.1946,6.9428,0.3306,1
5.3688,0.0093,0.1158,0.1848,0.1911,4.2763,0.0166,0
25.2124,0.1632,0.0901,0.2551,0.2292,3.9406,0.2572,1
8.2125,0.0771,0.1119,0.1621,0.155,3.7924,0.1171,0
15.2739,0.0425,0.0596,0.4472,0.6552,16.6518,0.4283,1
4.7983,0.0533,0.0244,0.1572,0.1544,4.8163,0.0674,0
6.9468,0.0643,0.0976,0.1739,0.1868,0.9492,0.0571,0
6.5321,0.2735,0.0804,0.1216,0.1664,2.6229,0.1757,1
5.421,0.0022,0.0911,0.1987,0.1494,4.9321,0.0344,0
5.9542,0.0725,0.1042,0.38,0.4786,14.2001,0.2692,1
7.5141,0.1384,0.1213,0.5241,0.4139,14.1607,0.31,1
2.6308,0.0149,0.0885,0.2411,0.1546,0.0,0.0472,0
4.1399,0.0411,0.0676,0.2436,0.1115,5.7113,0.0413,0
33.6054,0.1477,0.0442,0.1873,0.1614,6.6392,0.3548,1
28.0,0.3296,0.1614,0.5968,0.7748,19.0008,0.3634,1
6.2904,0.0211,0.0778,0.0969,0.2463,3.5847,0.0874,0
0.5095,0.048,0.0942,0.1538,0.2626,6.0367,0.0684,0
0.0,0.0762,0.1021,0.1094,0.1891,1.3631,0.0,0
28.9799,0.3531,0.2,0.6007,0.7944,16.3634,0.375,1
4.3661,0.1247,0.0437,0.598,0.5052,16.1423,0.2284,1
0.0,0.0259,0.1286,0.2059,0.1877,5.6454,0.0379,0
2.8206,0.1036,0.0885,0.1681,0.1579,5.8195,0.0857,0
5.8728,0.0051,0.1404,0.1265,0.1319,0.3554,0.0213,0
19.5384,0.22,0.0752,0.2068,0.2086,10.7522,0.0613,1
4.9464,0.0288,0.1123,0.267,0.1268,3.7398,0.0535,0
36.2204,0.2298,0.0257,0.4091,0.7225,14.1392,0.2,1
6.4551,0.1247,0.0637,0.4799,0.4947,21.9562,0.3334,1
5.1533,0.0905,0.1748,0.05,0.176,10.0,0.0235,0
8.1486,0.0372,0.1671,0.214,0.115,0.0,0.0196,0
4.2875,0.0685,0.1357,0.1105,0.1489,6.8002,0.0242,0
6.3772,0.017,0.1237,0.2389,0.2344,2.2359,0.0192,0
23.954,0.1496,0.0743,0.0914,0.2464,2.4227,0.2447,1
5.6537,0.014,0.0129,0.138,0.1132,3.05,0.0453,0
28.0,0.3183,0.0901,0.6542,0.4552,21.1686,0.321,1
3.2745,0.0546,0.0005,0.152,0.2827,1.0164,0.0635,0
0.3263,0.0229,0.0869,0.2261,0.1806,6.4362,0.0929,0
